taxon,degree centrality,sample_id
AZC3J_1,4.242857142857143,J
AZC3J_18,23.0,J
AZC5T_106,12.542857142857143,J
AZC3J_56,2.0285714285714285,J
AZC3J_57,3.5428571428571427,J
AZC3J_6,4.885714285714285,J
AZC3J_71,2.414285714285714,J
AZC3J_79,3.8,J
AZC3J_87,9.485714285714286,J
AZC3J_88,2.8857142857142857,J
AZC5T_115,2.3714285714285714,J
AZC5T_87,4.6,J
AZC7E_116,4.985714285714286,J
AZC7E_4,7.714285714285714,J
AZC7E_47,3.1142857142857143,J
AZC7E_54,2.5428571428571427,J
AZC7E_72,3.057142857142857,J
AZC9C_115,2.4714285714285715,J
AZC9C_25,3.214285714285714,J
AZC9C_30,3.1,J
AZC9C_60,4.057142857142857,J
AZC9C_96,4.0285714285714285,J
AZC5T_22,2.8285714285714283,J
AZC3J_28,2.4428571428571426,J
AZC3J_32,4.0,J
AZC3J_74,13.385714285714286,J
AZC7E_25,3.742857142857143,J
AZC7E_60,2.8,J
AZC7E_69,4.1,J
AZC7E_70,3.8428571428571425,J
AZC9C_7,3.742857142857143,J
AZC3J_20,3.0142857142857142,J
AZC3J_25,5.157142857142857,J
AZC3J_34,5.128571428571428,J
AZC3J_64,2.957142857142857,J
AZC3J_26,3.4428571428571426,J
AZC3J_73,1.8142857142857143,J
AZC3J_81,1.8,J
AZC3J_91,2.0142857142857142,J
AZC3J_99,3.1857142857142855,J
AZC7E_29,3.757142857142857,J
AZC9C_34,3.0,J
AZC3J_21,3.1285714285714286,J
AZC3J_45,2.9285714285714284,J
AZC3J_55,5.042857142857143,J
AZC3J_59,3.0142857142857142,J
AZC3J_61,3.1285714285714286,J
AZC3J_77,3.7857142857142856,J
AZC3J_82,3.642857142857143,J
AZC3J_95,2.2714285714285714,J
AZC5T_21,1.6142857142857143,J
AZC5T_64,4.5,J
AZC5T_69,3.4714285714285715,J
AZC5T_85,1.7571428571428571,J
AZC5T_98,2.8714285714285714,J
AZC7E_16,3.1,J
AZC7E_34,1.7428571428571429,J
AZC7E_74,4.228571428571429,J
AZC9C_108,3.857142857142857,J
AZC9C_110,4.185714285714286,J
AZC9C_6,2.3285714285714283,J
AZC9C_68,2.2857142857142856,J
AZC9C_80,1.7857142857142856,J
AZC9C_81,2.6142857142857143,J
AZC9C_98,1.6428571428571428,J
AZC3J_49,7.014285714285714,J
AZC7E_45,2.142857142857143,J
AZC9C_69,6.314285714285714,J
AZC9C_91,2.857142857142857,J
AZC3J_9,1.9,J
AZC3J_1,3.4057971014492754,T
AZC5T_93,24.492753623188406,T
AZC3J_18,4.826086956521739,T
AZC3J_6,6.246376811594203,T
AZC3J_62,5.043478260869565,T
AZC3J_71,2.6231884057971016,T
AZC5T_1,2.449275362318841,T
AZC5T_111,3.3333333333333335,T
AZC5T_115,1.9420289855072463,T
AZC5T_34,4.0,T
AZC5T_49,3.6666666666666665,T
AZC5T_51,4.159420289855072,T
AZC5T_53,3.5942028985507246,T
AZC5T_58,10.521739130434783,T
AZC5T_61,2.9855072463768115,T
AZC5T_63,1.9565217391304348,T
AZC5T_66,3.347826086956522,T
AZC7E_111,2.3043478260869565,T
AZC7E_114,4.884057971014493,T
AZC7E_117,1.5507246376811594,T
AZC7E_22,3.9420289855072466,T
AZC7E_47,5.550724637681159,T
AZC7E_52,3.9420289855072466,T
AZC7E_55,3.7971014492753623,T
AZC7E_71,2.4782608695652173,T
AZC7E_72,2.9130434782608696,T
AZC7E_73,3.739130434782609,T
AZC7E_90,2.956521739130435,T
AZC7E_96,3.318840579710145,T
AZC9C_60,4.217391304347826,T
AZC9C_71,3.5942028985507246,T
AZC9C_75,4.144927536231884,T
AZC3J_45,2.072463768115942,T
AZC3J_70,4.159420289855072,T
AZC5T_12,3.101449275362319,T
AZC5T_71,2.1449275362318843,T
AZC7E_69,5.086956521739131,T
AZC7E_81,3.1449275362318843,T
AZC5T_65,3.971014492753623,T
AZC7E_29,3.7536231884057973,T
AZC3J_2,1.6956521739130435,T
AZC3J_26,2.420289855072464,T
AZC3J_99,3.246376811594203,T
AZC5T_4,3.1594202898550723,T
AZC5T_80,7.173913043478261,T
AZC9C_18,8.405797101449275,T
AZC9C_34,2.9420289855072466,T
AZC3J_10,4.072463768115942,T
AZC3J_34,2.9855072463768115,T
AZC3J_63,1.4202898550724639,T
AZC3J_81,2.8405797101449277,T
AZC3J_95,3.898550724637681,T
AZC5T_24,3.1739130434782608,T
AZC5T_30,3.63768115942029,T
AZC5T_47,4.0144927536231885,T
AZC5T_64,4.608695652173913,T
AZC5T_79,2.63768115942029,T
AZC5T_85,2.782608695652174,T
AZC5T_90,1.3623188405797102,T
AZC5T_99,2.782608695652174,T
AZC7E_57,3.3768115942028984,T
AZC9C_58,3.4057971014492754,T
AZC9C_93,2.7246376811594204,T
AZC9C_98,1.8260869565217392,T
AZC3J_92,4.072463768115942,T
AZC5T_119,4.188405797101449,T
AZC7E_45,2.318840579710145,T
AZC9C_86,1.5072463768115942,T
AZC5T_104,3.347826086956522,T
AZC3J_87,18.435294117647057,C
AZC5T_68,6.823529411764706,C
AZC7E_57,4.094117647058823,C
AZC7E_73,31.96470588235294,C
AZC7E_89,27.611764705882354,C
AZC9C_75,13.376470588235295,C
AZC5T_97,11.423529411764706,C
AZC7E_39,16.352941176470587,C
AZC7E_54,9.0,C
AZC9C_6,22.31764705882353,C
AZC5T_37,6.647058823529411,C
AZC3J_3,6.6117647058823525,C
AZC5T_119,6.6117647058823525,C
AZC9C_113,7.705882352941177,C
AZC3J_76,8.117647058823529,C
AZC5T_107,8.364705882352942,C
AZC9C_95,6.447058823529412,C
AZC3J_18,8.988235294117647,C
AZC3J_79,4.552941176470588,C
AZC5T_122,3.9058823529411764,C
AZC5T_38,4.8,C
AZC5T_44,7.117647058823529,C
AZC5T_66,7.670588235294118,C
AZC5T_87,4.8352941176470585,C
AZC5T_93,9.364705882352942,C
AZC5T_94,10.094117647058823,C
AZC7E_109,8.329411764705883,C
AZC7E_114,4.635294117647058,C
AZC7E_12,6.623529411764705,C
AZC7E_59,2.9176470588235293,C
AZC7E_61,7.8352941176470585,C
AZC7E_64,6.847058823529411,C
AZC7E_96,7.823529411764706,C
AZC9C_32,6.541176470588235,C
AZC9C_40,4.105882352941176,C
AZC9C_53,7.517647058823529,C
AZC9C_71,9.058823529411764,C
AZC9C_96,4.741176470588235,C
AZC3J_28,3.3058823529411763,C
AZC5T_22,3.2941176470588234,C
AZC3J_74,6.105882352941176,C
AZC5T_14,6.1647058823529415,C
AZC7E_25,5.4,C
AZC7E_60,5.482352941176471,C
AZC7E_69,6.9411764705882355,C
AZC7E_70,4.635294117647058,C
AZC9C_7,5.623529411764705,C
AZC5T_69,7.1647058823529415,C
AZC7E_15,12.2,C
AZC7E_51,5.352941176470588,C
AZC3J_34,8.117647058823529,C
AZC9C_112,6.788235294117647,C
AZC5T_78,6.235294117647059,C
AZC9C_116,7.576470588235294,C
AZC3J_64,5.5058823529411764,C
AZC5T_19,6.352941176470588,C
AZC9C_106,5.258823529411765,C
AZC9C_29,6.6,C
AZC9C_54,6.352941176470588,C
AZC3J_91,2.8941176470588235,C
AZC3J_99,4.235294117647059,C
AZC5T_8,6.635294117647058,C
AZC5T_80,7.623529411764705,C
AZC5T_85,6.623529411764705,C
AZC7E_29,5.847058823529411,C
AZC7E_77,4.729411764705882,C
AZC9C_18,7.8,C
AZC3J_55,5.788235294117647,C
AZC3J_73,4.870588235294117,C
AZC3J_81,3.8941176470588235,C
AZC5T_120,4.458823529411765,C
AZC5T_30,4.741176470588235,C
AZC5T_57,5.0588235294117645,C
AZC5T_64,6.188235294117647,C
AZC5T_98,5.6117647058823525,C
AZC7E_16,5.788235294117647,C
AZC7E_82,4.470588235294118,C
AZC9C_61,4.388235294117647,C
AZC9C_68,5.023529411764706,C
AZC9C_93,4.317647058823529,C
AZC9C_98,3.564705882352941,C
AZC5T_109,8.329411764705883,C
AZC5T_104,4.952941176470588,C
AZC7E_45,6.011764705882353,C
AZC9C_86,3.0823529411764707,C
AZC7E_101,6.685185185185185,E
AZC7E_15,35.78703703703704,E
AZC7E_3,11.166666666666666,E
AZC7E_38,12.009259259259258,E
AZC7E_54,23.777777777777775,E
AZC7E_68,8.175925925925926,E
AZC7E_89,7.675925925925926,E
AZC7E_76,5.0,E
AZC9C_113,5.0,E
AZC9C_29,6.759259259259259,E
AZC3J_76,3.1666666666666665,E
AZC3J_79,5.601851851851851,E
AZC3J_88,3.3703703703703702,E
AZC3J_90,5.0,E
AZC5T_106,3.583333333333333,E
AZC5T_107,3.435185185185185,E
AZC5T_32,4.25,E
AZC5T_34,2.898148148148148,E
AZC5T_51,4.87962962962963,E
AZC5T_66,3.583333333333333,E
AZC5T_68,5.0,E
AZC5T_93,4.092592592592593,E
AZC5T_94,3.5462962962962963,E
AZC7E_109,5.296296296296296,E
AZC7E_111,5.75,E
AZC7E_116,3.648148148148148,E
AZC7E_12,9.657407407407407,E
AZC7E_13,2.638888888888889,E
AZC7E_17,3.3425925925925926,E
AZC7E_2,6.194444444444444,E
AZC7E_36,3.768518518518518,E
AZC7E_4,3.7407407407407405,E
AZC7E_48,3.768518518518518,E
AZC7E_55,3.8611111111111107,E
AZC7E_58,5.083333333333333,E
AZC7E_61,3.75,E
AZC7E_71,2.7314814814814814,E
AZC7E_72,2.3703703703703702,E
AZC7E_73,9.25,E
AZC7E_79,4.759259259259259,E
AZC7E_84,2.9166666666666665,E
AZC7E_87,3.212962962962963,E
AZC7E_88,2.7314814814814814,E
AZC7E_90,3.435185185185185,E
AZC7E_93,6.981481481481481,E
AZC7E_94,3.212962962962963,E
AZC7E_96,4.768518518518518,E
AZC9C_25,3.25,E
AZC9C_40,2.7314814814814814,E
AZC9C_71,4.768518518518518,E
AZC9C_88,6.185185185185185,E
AZC7E_95,5.037037037037036,E
AZC9C_68,6.629629629629629,E
AZC3J_32,4.407407407407407,E
AZC3J_74,5.62962962962963,E
AZC5T_39,4.101851851851851,E
AZC7E_25,6.981481481481481,E
AZC7E_26,4.138888888888888,E
AZC7E_37,5.3240740740740735,E
AZC7E_60,3.4814814814814814,E
AZC7E_70,9.833333333333332,E
AZC7E_81,3.333333333333333,E
AZC9C_57,4.101851851851851,E
AZC9C_7,7.611111111111111,E
AZC3J_43,4.87962962962963,E
AZC5T_120,8.027777777777777,E
AZC9C_106,4.694444444444444,E
AZC5T_69,5.37037037037037,E
AZC7E_42,9.222222222222221,E
AZC7E_113,8.203703703703702,E
AZC5T_85,5.851851851851851,E
AZC7E_97,5.37962962962963,E
AZC7E_104,6.666666666666666,E
AZC7E_32,6.768518518518518,E
AZC3J_91,2.2685185185185186,E
AZC5T_78,4.685185185185185,E
AZC5T_8,3.7037037037037033,E
AZC5T_9,2.25,E
AZC7E_106,5.944444444444444,E
AZC7E_23,4.555555555555555,E
AZC7E_62,3.2962962962962963,E
AZC7E_77,2.259259259259259,E
AZC9C_116,4.703703703703703,E
AZC9C_14,5.333333333333333,E
AZC9C_27,2.259259259259259,E
AZC9C_34,2.814814814814815,E
AZC9C_6,4.546296296296296,E
AZC3J_21,2.6666666666666665,E
AZC3J_34,4.5740740740740735,E
AZC3J_55,3.1018518518518516,E
AZC3J_81,2.6666666666666665,E
AZC5T_108,5.518518518518518,E
AZC5T_21,2.1296296296296293,E
AZC5T_41,4.675925925925926,E
AZC5T_97,3.138888888888889,E
AZC7E_24,3.8148148148148144,E
AZC7E_34,2.6666666666666665,E
AZC7E_39,3.185185185185185,E
AZC7E_91,4.861111111111111,E
AZC9C_102,4.675925925925926,E
AZC9C_93,2.9074074074074074,E
AZC9C_98,2.0185185185185186,E
AZC3J_58,6.305555555555555,E
AZC5T_104,6.0,E
AZC5T_109,7.916666666666666,E
AZC7E_105,5.907407407407407,E
AZC7E_80,6.537037037037036,E
AZC7E_115,3.0648148148148144,E
