assembly,mean_d0_abundance
AZC3J_21,0.00117874846924511
AZC3J_32,0.00286262050487267
AZC3J_34,0.00225146048861901
AZC3J_43,0.00145931054104722
AZC3J_51,0.0119056774003783
AZC3J_55,0.0016509049669171
AZC3J_58,0.00186919258110647
AZC3J_74,0.010953226565645
AZC3J_76,0.00116037883624069
AZC3J_79,0.00301424114659371
AZC3J_81,0.00141496845192319
AZC3J_88,0.00211738305364643
AZC3J_90,0.00318536132341803
AZC3J_91,0.00116414173467655
AZC5T_104,0.0043529627473956
AZC5T_106,0.00290841240647702
AZC5T_107,0.00237501810705513
AZC5T_108,0.00146310537756737
AZC5T_109,0.0093738233765665
AZC5T_120,0.0118916388478232
AZC5T_21,0.00102169633595568
AZC5T_32,0.00138532878338633
AZC5T_34,0.0010953568164117
AZC5T_39,0.00149939647296959
AZC5T_41,0.00126784662270023
AZC5T_51,0.00164185817178237
AZC5T_52,0.00128172786472139
AZC5T_66,0.00254392699887883
AZC5T_68,0.00142798160085121
AZC5T_69,0.00119969445308144
AZC5T_78,0.00127260450000483
AZC5T_8,0.0031812901212078
AZC5T_84,0.011901532407727
AZC5T_85,0.00399030654865622
AZC5T_9,0.0015609716875237
AZC5T_93,0.00389577987183754
AZC5T_94,0.0012598585173038
AZC5T_97,0.00177276551181986
AZC7E_101,0.00359369194381709
AZC7E_104,0.0075459100269767
AZC7E_105,0.00553848987271913
AZC7E_106,0.00447199732428522
AZC7E_109,0.00433379073668271
AZC7E_111,0.00496370667699096
AZC7E_113,0.0617611763275696
AZC7E_115,0.00169855187310149
AZC7E_116,0.00150194927683417
AZC7E_12,0.0169330440784221
AZC7E_13,0.00183016221089563
AZC7E_15,0.0686894950410282
AZC7E_17,0.00276926673910755
AZC7E_2,0.0171484838649244
AZC7E_23,0.00702896859185992
AZC7E_24,0.00307237114648414
AZC7E_25,0.0144854775999608
AZC7E_26,0.00277481404775453
AZC7E_3,0.0198989005754119
AZC7E_32,0.00579604107382229
AZC7E_34,0.00113586282558357
AZC7E_36,0.00448775904274928
AZC7E_37,0.00991376303420443
AZC7E_38,0.0233212254046702
AZC7E_39,0.00434792304630614
AZC7E_4,0.00299786258175139
AZC7E_42,0.0199639613849345
AZC7E_48,0.00458538945928881
AZC7E_5,0.00176354664240897
AZC7E_54,0.0293573220760276
AZC7E_55,0.00173765000420653
AZC7E_58,0.00436998783591332
AZC7E_60,0.00383433270182521
AZC7E_61,0.00286548000095336
AZC7E_62,0.00331410824804025
AZC7E_68,0.00978356182803776
AZC7E_70,0.0226656383407715
AZC7E_71,0.00165441513748065
AZC7E_72,0.00123977602995769
AZC7E_73,0.0185317817917658
AZC7E_76,0.00142226464938457
AZC7E_77,0.00154554702737987
AZC7E_79,0.00525147448087453
AZC7E_80,0.00500993193686791
AZC7E_81,0.00320335897885185
AZC7E_84,0.0022344626827557
AZC7E_87,0.00427134034945715
AZC7E_88,0.00158863217897728
AZC7E_89,0.0127702114834667
AZC7E_90,0.00237191784476182
AZC7E_91,0.00272785980633088
AZC7E_93,0.00270506491701068
AZC7E_94,0.00162320705660065
AZC7E_95,0.00239035268952205
AZC7E_96,0.00416965062649104
AZC7E_97,0.00439523974058185
AZC9C_102,0.00229343716411595
AZC9C_106,0.011913151930973
AZC9C_113,0.00147359769236912
AZC9C_116,0.00174650035013979
AZC9C_14,0.00165885242085846
AZC9C_25,0.00150798403022942
AZC9C_27,0.00176897320433006
AZC9C_29,0.0022066304912658
AZC9C_34,0.00163661828992906
AZC9C_40,0.00167335873709661
AZC9C_57,0.00150402777178877
AZC9C_6,0.00775392585317523
AZC9C_68,0.0140042238757385
AZC9C_7,0.0203460630367886
AZC9C_71,0.00399660544400241
AZC9C_88,0.00761699443342539
AZC9C_93,0.00164883691088174
AZC9C_94,0.00144552378007943
AZC9C_98,0.00106040182281574
